                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.66897,                 0.3959,                 1.2156,                0.96182,                0.97601,                0.96756,                0.83557,                0.60141,                0.35407,                 1.0409,              0.0008516,              0.0008516,              0.0008516
                     60,                0.67889,                0.39816,                 1.2261,                0.96176,                0.97444,                0.96231,                0.83516,                0.57339,                0.35351,                  1.008,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.6677,                0.39201,                 1.2174,                0.96071,                0.98135,                0.96936,                0.84328,                0.58469,                0.34548,                  1.019,               0.000812,               0.000812,               0.000812
                     62,                0.66116,                0.38673,                 1.2105,                0.95898,                0.98755,                0.96928,                0.83586,                 0.5945,                0.33912,                 1.0151,              0.0007922,              0.0007922,              0.0007922
                     63,                 0.6613,                0.38938,                 1.2118,                0.96201,                0.96949,                0.96369,                0.83092,                0.58901,                0.37263,                 1.0299,              0.0007724,              0.0007724,              0.0007724
                     64,                0.65642,                0.38418,                 1.2143,                0.95579,                0.98386,                0.96786,                0.84518,                0.57238,                0.33455,                 1.0064,              0.0007526,              0.0007526,              0.0007526
                     65,                0.64508,                0.37816,                 1.2125,                0.95893,                0.98662,                0.97183,                 0.8515,                0.55821,                0.33438,                 1.0019,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.6535,                0.38287,                 1.2166,                0.96172,                0.98247,                0.97002,                0.84436,                0.55288,                0.34394,                 0.9972,               0.000713,               0.000713,               0.000713
                     67,                0.64337,                0.37425,                  1.209,                0.95936,                0.98616,                0.97022,                0.84508,                 0.5779,                0.33835,                0.99663,              0.0006932,              0.0006932,              0.0006932
                     68,                0.63115,                0.37423,                 1.1989,                0.96163,                0.98271,                0.96596,                0.84336,                0.55274,                0.33641,                0.99948,              0.0006734,              0.0006734,              0.0006734
                     69,                0.63646,                 0.3704,                 1.2064,                0.96213,                0.98447,                0.96817,                0.84775,                0.55298,                0.35155,                 1.0125,              0.0006536,              0.0006536,              0.0006536
                     70,                0.63521,                0.37154,                 1.1941,                0.96239,                 0.9857,                0.96595,                0.84703,                0.54621,                0.33664,                 1.0034,              0.0006338,              0.0006338,              0.0006338
                     71,                0.64071,                0.37036,                 1.2006,                  0.962,                0.98084,                0.96825,                0.84582,                0.55397,                 0.3394,                0.99771,               0.000614,               0.000614,               0.000614
                     72,                0.63274,                0.36445,                 1.1991,                0.96375,                0.97924,                  0.969,                0.84568,                0.54596,                0.33512,                 1.0039,              0.0005942,              0.0005942,              0.0005942
                     73,                0.63732,                0.37377,                 1.2021,                0.96202,                0.98386,                0.96608,                0.84512,                0.55189,                0.32916,                0.98497,              0.0005744,              0.0005744,              0.0005744
                     74,                0.62588,                0.36939,                 1.1928,                0.96116,                0.98432,                0.97088,                0.85133,                0.54863,                0.33483,                0.98957,              0.0005546,              0.0005546,              0.0005546
                     75,                0.62554,                0.36878,                 1.1968,                0.96341,                0.98385,                0.96761,                0.85326,                0.53656,                0.32618,                0.98407,              0.0005348,              0.0005348,              0.0005348
